stage,tissue,rep,reps,time,SL.ID,forebrain,midbrain,hindbrain,cranioface,neural.tube,liver,heart,limb,stomach,intestine,kidney,lung
e14.5,stomach,1,58,14.5,SL113827,0,0,0,0,0,0,0,0,1,0,0,0
e14.5,stomach,2,58,14.5,SL113828,0,0,0,0,0,0,0,0,1,0,0,0
e15.5,stomach,1,59,15.5,SL139091,0,0,0,0,0,0,0,0,1,0,0,0
e15.5,stomach,2,59,15.5,SL139106,0,0,0,0,0,0,0,0,1,0,0,0
e16.5,stomach,1,60,16.5,SL139100,0,0,0,0,0,0,0,0,1,0,0,0
e16.5,stomach,2,60,16.5,SL139101,0,0,0,0,0,0,0,0,1,0,0,0
P0,stomach,1,61,18.5,SL113858,0,0,0,0,0,0,0,0,1,0,0,0
P0,stomach,2,61,18.5,SL113859,0,0,0,0,0,0,0,0,1,0,0,0
e14.5,intestine,1,62,14.5,SL113829,0,0,0,0,0,0,0,0,0,1,0,0
e14.5,intestine,2,62,14.5,SL113830,0,0,0,0,0,0,0,0,0,1,0,0
e16.5,intestine,1,63,16.5,SL139096,0,0,0,0,0,0,0,0,0,1,0,0
e16.5,intestine,2,63,16.5,SL139097,0,0,0,0,0,0,0,0,0,1,0,0
P0,intestine,1,64,18.5,SL113860,0,0,0,0,0,0,0,0,0,1,0,0
P0,intestine,2,64,18.5,SL113861,0,0,0,0,0,0,0,0,0,1,0,0
e14.5,kidney,1,65,14.5,SL113833,0,0,0,0,0,0,0,0,0,0,1,0
e14.5,kidney,2,65,14.5,SL113834,0,0,0,0,0,0,0,0,0,0,1,0
e15.5,kidney,1,66,15.5,SL139107,0,0,0,0,0,0,0,0,0,0,1,0
e15.5,kidney,2,66,15.5,SL139108,0,0,0,0,0,0,0,0,0,0,1,0
e16.5,kidney,1,67,16.5,SL139098,0,0,0,0,0,0,0,0,0,0,1,0
e16.5,kidney,2,67,16.5,SL139099,0,0,0,0,0,0,0,0,0,0,1,0
P0,kidney,1,68,18.5,SL113862,0,0,0,0,0,0,0,0,0,0,1,0
P0,kidney,2,68,18.5,SL113863,0,0,0,0,0,0,0,0,0,0,1,0
e14.5,lung,1,69,14.5,SL113821,0,0,0,0,0,0,0,0,0,0,0,1
e14.5,lung,2,69,14.5,SL113822,0,0,0,0,0,0,0,0,0,0,0,1
e15.5,lung,1,70,15.5,SL139086,0,0,0,0,0,0,0,0,0,0,0,1
e15.5,lung,2,70,15.5,SL139087,0,0,0,0,0,0,0,0,0,0,0,1
e16.5,lung,1,71,16.5,SL139094,0,0,0,0,0,0,0,0,0,0,0,1
e16.5,lung,2,71,16.5,SL139095,0,0,0,0,0,0,0,0,0,0,0,1
P0,lung,1,72,18.5,SL113849,0,0,0,0,0,0,0,0,0,0,0,1
P0,lung,2,72,18.5,SL113850,0,0,0,0,0,0,0,0,0,0,0,1
