stage,tissue,rep,reps,SL.ID
e13.5,heart,1,52,SL139070
e13.5,heart,2,52,SL139071
e14.5,heart,1,53,SL113825
e14.5,heart,2,53,SL113826
e15.5,heart,1,54,SL139084
e15.5,heart,2,54,SL139085
e16.5,heart,1,55,SL139121
e16.5,heart,2,55,SL139122
P0,heart,1,56,SL113847
P0,heart,2,56,SL113848
e10.5,limb,1,57,SL236342
e10.5,limb,2,57,SL236343
e11.5,limb,1,58,SL108092
e11.5,limb,2,58,SL108093
e12.5,limb,1,59,SL236350
e12.5,limb,2,59,SL236324
e13.5,limb,1,60,SL139072
e13.5,limb,2,60,SL139073
e14.5,limb,1,61,SL113823
e14.5,limb,2,61,SL113824
e15.5,limb,1,62,SL139109
e15.5,limb,2,62,SL139110
e16.5,limb,1,63,t11
e16.5,limb,2,63,t12
P0,limb,1,64,t13
P0,limb,2,64,t14
e10.5,stomach,1,65,t15
e10.5,stomach,2,65,t16
e11.5,stomach,1,66,t17
e11.5,stomach,2,66,t18
e12.5,stomach,1,67,t19
e12.5,stomach,2,67,t20
e13.5,stomach,1,68,t21
e13.5,stomach,2,68,t22
e14.5,stomach,1,69,SL113827
e14.5,stomach,2,69,SL113828
e15.5,stomach,1,70,SL139091
e15.5,stomach,2,70,SL139106
e16.5,stomach,1,71,SL139100
e16.5,stomach,2,71,SL139101
P0,stomach,1,72,SL113858
P0,stomach,2,72,SL113859
e10.5,intestine,1,73,t23
e10.5,intestine,2,73,t24
e11.5,intestine,1,74,t25
e11.5,intestine,2,74,t26
e12.5,intestine,1,75,t27
e12.5,intestine,2,75,t28
e13.5,intestine,1,76,t29
e13.5,intestine,2,76,t30
e14.5,intestine,1,77,SL113829
e14.5,intestine,2,77,SL113830
e15.5,intestine,1,78,t31
e15.5,intestine,2,78,t32
e16.5,intestine,1,79,SL139096
e16.5,intestine,2,79,SL139097
P0,intestine,1,80,SL113860
P0,intestine,2,80,SL113861
e10.5,kidney,1,81,t33
e10.5,kidney,2,81,t34
e11.5,kidney,1,82,t35
e11.5,kidney,2,82,t36
e12.5,kidney,1,83,t37
e12.5,kidney,2,83,t38
e13.5,kidney,1,84,t39
e13.5,kidney,2,84,t40
e14.5,kidney,1,85,SL113833
e14.5,kidney,2,85,SL113834
e15.5,kidney,1,86,SL139107
e15.5,kidney,2,86,SL139108
e16.5,kidney,1,87,SL139098
e16.5,kidney,2,87,SL139099
P0,kidney,1,88,SL113862
P0,kidney,2,88,SL113863
e10.5,lung,1,89,t41
e10.5,lung,2,89,t42
e11.5,lung,1,90,t43
e11.5,lung,2,90,t44
e12.5,lung,1,91,t45
e12.5,lung,2,91,t46
e13.5,lung,1,92,t47
e13.5,lung,2,92,t48
e14.5,lung,1,93,SL113821
e14.5,lung,2,93,SL113822
e15.5,lung,1,94,SL139086
e15.5,lung,2,94,SL139087
e16.5,lung,1,95,SL139094
e16.5,lung,2,95,SL139095
P0,lung,1,96,SL113849
P0,lung,2,96,SL113850
